Id,TeamName,CountryCode,Ranking
1,Real Madrid,Esp,166.228
2,Barcelona,Esp,154.228
3,Bayern München,Ger,149.711
4,Chelsea,Eng,142.078
5,Atlético Madrid,Esp,119.228
6,Benfica,Por,118.209
7,Arsenal,Eng,110.078
8,Porto,Por,109.209
9,Manchester United,Eng,103.078
10,Paris Saint-Germain,Fra,100.45
11,Valencia,Esp,99.228
12,Zenit,Rus,89.066
13,Bayer Leverkusen,Ger,87.711
14,Manchester City,Eng,87.078
15,Juventus,Ita,86.535
16,Shakhtar Donetsk,Ukr,85.733
17,Basel,Sui,84.875
18,Olympique Lyon,Fra,72.95
19,Ajax,Ned,66.195
20,Dynamo Kyiv,Ukr,63.733
21,Olympiacos,Gre,62.38
22,PSV,Ned,58.195
23,Galatasaray,Tur,50.02
24,Red Bull Salzburg,Aut,43.135
25,AS Roma,Ita,43.035
26,Viktoria Plzen,Cze,41.825
27,Club Brugge,Bel,40.4
28,Steaua,Rom,40.259
29,Celtic,Sco,39.08
30,APOEL,Cyp,35.46
31,Borussia M'gladbach,Ger,33.711
32,Wolfsburg,Ger,30.711
