Id,TeamName,CountryCode,Ranking
1,Celtic,Sco,39.08
2,APOEL,Cyp,35.46
3,BATE,Blr,35.15
4,Ludogorets,Bul,25.35
5,Legia Warszawa,Pol,24.8
6,Dinamo Zagreb,Cro,24.7
7,Maribor,Slo,22.225
8,Maccabi Tel Aviv,Isr,18.2
9,Partizan,Srb,14.775
10,Malmö,Swe,12.545
11,Qarabag,Aze,11.5
12,HJK,Fin,11.14
13,Molde,Nor,10.375
14,Midtjylland,Den,7.96
15,Videoton,Hun,7.95
16,Dinamo Tbilisi,Geo,6.875
17,Skënderbeu,Alb,5.575
18,The New Saints,Wal,5.575
19,Ventspils,Lat,5.35
20,Dacia,Mol,4.5
21,Trencín,Svk,4.25
22,Siroki Brijeg,Bos,4.25
23,Levadia Tallinn,Est,4.2
24,Zalgiris,Lit,3.9
25,Astana,Kaz,3.825
26,Pyunik,Arm,3.55
27,Rudar Plevlja,Mne,3.375
28,Vardar,Mac,3.175
29,Stjarnan,Isl,3.1
30,Fola Esch,Lux,2.525
31,Crusaders,Nir,2.475
32,Dundalk,Irl,2.15
33,Lusitans,And,1.666
34,Hibernians,Mal,1.591
