Id,TeamName,CountryCode,Ranking
1,Real Madrid CF,Esp,166.228
2,FC Barcelona,Esp,154.228
3,FC Bayern München,Ger,149.711
4,Chelsea FC,Eng,142.078
5,Club Atlético de Madrid,Esp,119.228
6,SL Benfica,Por,118.209
7,FC Schalke 04,Ger,111.711
8,Arsenal FC,Eng,110.078
9,FC Porto,Por,109.209
10,Manchester United FC,Eng,103.078
11,Paris Saint-Germain FC,Fra,100.45
12,Borussia Dortmund,Ger,99.711
13,Valencia CF,Esp,99.228
14,FC Zenit St Petersburg,Rus,89.066
15,Bayer 04 Leverkusen,Ger,87.711
16,Manchester City FC,Eng,87.078
17,Juventus,Ita,86.535
18,FC Shakhtar Donetsk,Ukr,85.733
19,FC Basel 1893,Sui,84.875
20,Tottenham Hotspur FC,Eng,84.078
21,AC Milan,Ita,82.535
22,SSC Napoli,Ita,78.535
23,FC Internazionale Milano,Ita,76.535
24,Olympique Lyonnais,Fra,72.95
25,Sevilla FC,Esp,68.728
26,AFC Ajax,Ned,66.195
27,FC Dynamo Kyiv,Ukr,63.733
28,Olympiacos FC,Gre,62.38
29,Villarreal CF,Esp,58.228
30,PSV Eindhoven,Ned,58.195
31,FC Rubin Kazan,Rus,57.066
32,Athletic Club,Esp,56.228
33,Sporting Clube de Portugal,Por,56.209
34,PFC CSKA Moskva,Rus,55.566
35,Olympique de Marseille,Fra,55.45
36,SC Braga,Por,51.709
37,Galatasaray A?,Tur,50.02
38,S.S. Lazio,Ita,48.535
39,RSC Anderlecht,Bel,47.4
40,Liverpool FC,Eng,47.078
41,FC Metalist Kharkiv,Ukr,46.733
42,AZ Alkmaar,Ned,46.695
43,ACF Fiorentina,Ita,44.535
44,FC Dnipro Dnipropetrovsk,Ukr,43.733
45,FC Twente,Ned,43.695
46,FC Salzburg,Aut,43.135
47,AS Roma,Ita,43.035
48,FC Viktoria Plze?,Cze,41.825
49,Hannover 96,Ger,41.711
50,Málaga CF,Esp,41.228
51,FC København,Den,40.96
52,PAOK FC,Gre,40.88
53,Club Brugge KV,Bel,40.4
54,FC Steaua Bucure?ti,Rou,40.259
55,Celtic FC,Sco,39.08
56,FC Spartak Moskva,Rus,37.066
57,KRC Genk,Bel,36.9
58,Be?ikta? JK,Tur,36.52
59,Trabzonspor A?,Tur,36.52
60,LOSC Lille Métropole,Fra,36.45
61,VfB Stuttgart,Ger,36.211
62,APOEL FC,Cyp,35.46
63,FC BATE Borisov,Blr,35.15
64,VfL Borussia Mönchengladbach,Ger,33.711
